Epic,Ticket ID,Issue Type,Summary,Description,Acceptance Criteria,Story Points,Dependencies,Owner,Sprint,Labels
"M1-E1 Quote/Transfer Core","M1-T1","Story","Lock quote lifecycle and validation cleanup","Tighten quote creation, expiry, ownership, and single-use validation across quote services and routes.","Quote expiry enforced; ownership enforced; consumed quotes rejected; tests added.",5,"","BE1","M01","month-01;backend;quotes;mvp"
"M1-E1 Quote/Transfer Core","M1-T2","Story","Normalize transfer response payloads","Standardize transfer response schema across create transfer, quote consumption, and record payloads.","All transfer endpoints return consistent fields; FE consumes one schema; docs updated.",2,"M1-T1","BE1","M01","month-01;backend;transfers;api"
"M1-E1 Quote/Transfer Core","M1-T3","Story","Improve idempotency replay behavior","Harden replay handling and request-hash conflict behavior for transfer submission.","Duplicate requests replay prior success; changed payload with same key returns conflict; tests pass.",5,"","BE2","M01","month-01;backend;idempotency;api"
"M1-E1 Quote/Transfer Core","M1-T4","Story","Add transfer diagnostics to health endpoint","Expose transfer subsystem readiness in health route.","Health route reports quote, transfer, and persistence readiness; no secrets exposed.",1,"","BE2","M01","month-01;backend;health;ops"
"M1-E2 Send Money UI","M1-T5","Story","Improve quote loading and error UX","Refine loading, empty, expired, and blocked quote states in send flow.","User sees clear quote loading, expiry, and error states; no dead-end screens.",2,"M1-T1","FE1","M01","month-01;frontend;send-money;ux"
"M1-E2 Send Money UI","M1-T6","Story","Improve review screen locked-quote messaging","Make review step explicitly show locked quote semantics and submission rules.","Review screen displays quote lock, expiry, and mismatch guidance.",2,"M1-T2","FE1","M01","month-01;frontend;review;ux"
"M1-E2 Send Money UI","M1-T7","Story","Unify success and receipt data shape","Align receipt and success screen data with backend transfer payload.","Success and receipt views render from one normalized record shape.",5,"M1-T2","FE1","M01","month-01;frontend;receipt;transfers"
"M1-E2 Send Money UI","M1-T8","Story","Expand transfer API client error mapping","Map backend errors to friendly UI states in FE transfer client.","401, 409, 422, and generic errors render correct messaging and routing.",1,"M1-T2","FE1","M01","month-01;frontend;api-client;ux"
"M1-E3 QA Baseline","M1-T9","Story","Add backend tests for quote and transfer lifecycle","Create backend tests for quote expiry, consumption, and transfer creation.","Core quote/transfer lifecycle scenarios covered by automated tests.",5,"M1-T1;M1-T3","QA1","M01","month-01;qa;backend-tests;mvp"
"M1-E3 QA Baseline","M1-T10","Story","Create send-money regression checklist","Define manual regression checklist for full send-money flow.","Checklist covers recipient, quote, payment, review, success, and receipt.",1,"M1-T5;M1-T6;M1-T7;M1-T8","QA1","M01","month-01;qa;regression;frontend"

"M2-E1 Funding Abstraction","M2-T1","Story","Create funding provider abstraction","Add provider abstraction layer for card, bank, and future funding methods.","Funding provider interface exists; provider registry delegates via abstraction.",8,"M1-T1;M1-T2;M1-T3","BE1","M02","month-02;backend;funding;architecture"
"M2-E1 Funding Abstraction","M2-T2","Story","Refactor payment authorization to provider-agnostic model","Decouple payment authorization from Stripe-only assumptions.","Payment authorization accepts provider type and returns normalized auth payload.",5,"M2-T1","BE1","M02","month-02;backend;payments;funding"
"M2-E1 Funding Abstraction","M2-T3","Story","Store funding provider metadata in transfer records","Persist funding provider name and reference in transfer records.","Transfer record includes funding provider and auth reference fields.",2,"M2-T1","BE2","M02","month-02;backend;schema;transfer-records"
"M2-E2 Payout Abstraction","M2-T4","Story","Create payout provider abstraction","Add abstraction layer for payout partner integrations.","Payout provider interface supports queue, status, and reference return.",8,"M1-T1;M1-T2","BE2","M02","month-02;backend;payouts;architecture"
"M2-E2 Payout Abstraction","M2-T5","Story","Add payout status and reference persistence","Persist payout provider, reference, and payout state on transfer records.","Transfer records store payout provider, reference, and status consistently.",2,"M2-T4","BE2","M02","month-02;backend;payouts;schema"
"M2-E2 Payout Abstraction","M2-T6","Story","Expose payout references in transfer record APIs","Return payout references and statuses in record endpoints.","Receipt/history APIs include payout reference and payout status fields.",1,"M2-T5","BE2","M02","month-02;backend;api;payouts"
"M2-E3 Funding/Payout UI","M2-T7","Story","Update payment-method UI for provider abstraction","Adjust FE payment method flow to work with provider-agnostic funding.","Payment selection works with normalized funding method model.",5,"M2-T2","FE1","M02","month-02;frontend;payment-methods;funding"
"M2-E3 Funding/Payout UI","M2-T8","Story","Show funding and payout references in receipt/history","Display funding and payout metadata in transfer history and receipt screens.","Receipt and history show funding auth and payout refs when present.",2,"M2-T6","FE1","M02","month-02;frontend;receipt;history"

"M3-E1 Transfer Observability","M3-T1","Story","Add transfer timeline builder","Create reusable transfer timeline assembler for backend record shaping.","Transfer records return normalized timeline events in correct order.",5,"M2-T5;M2-T6","BE1","M03","month-03;backend;timeline;ops"
"M3-E1 Transfer Observability","M3-T2","Story","Add reconciliation helper layer","Create helper layer for reconciling funding, transfer, and payout states.","Reconciliation helper compares record, funding, and payout states and flags mismatches.",5,"M2-T5","DE1","M03","month-03;backend;reconciliation;ops"
"M3-E1 Transfer Observability","M3-T3","Story","Persist support and operator notes","Extend transfer persistence for support notes and internal annotations.","Authorized notes can be stored and retrieved with transfer records.",2,"","DE1","M03","month-03;backend;schema;support"
"M3-E2 Dashboard and Support Tooling","M3-T4","Story","Show richer transfer statuses and events","Upgrade history/dashboard to visualize transfer timeline and status detail.","History/dashboard display event timeline and richer status badges.",5,"M3-T1","FE1","M03","month-03;frontend;dashboard;history"
"M3-E2 Dashboard and Support Tooling","M3-T5","Story","Improve receipt timeline view","Render backend timeline clearly in receipt screen.","Receipt screen shows ordered event timeline with timestamps.",2,"M3-T1","FE1","M03","month-03;frontend;receipt;timeline"
"M3-E2 Dashboard and Support Tooling","M3-T6","Story","Add stats for failed and retried transfers","Add metrics cards for failures, retries, and completion funnel.","Dashboard shows failed/retried counts and derived summary stats.",2,"M3-T2","FE1","M03","month-03;frontend;dashboard;analytics"
"M3-E3 QA and Reliability","M3-T7","Story","Add transfer-record persistence tests","Expand automated coverage for transfer record normalization and persistence.","Tests cover persistence shape, timeline, and metadata behavior.",2,"M3-T1","QA1","M03","month-03;qa;backend-tests;transfer-records"
"M3-E3 QA and Reliability","M3-T8","Story","Create retry and replay test matrix","Document and automate retry/replay scenarios across APIs.","Replay, duplicate, timeout, and retry scenarios are tested and documented.",2,"M3-T2","QA1","M03","month-03;qa;idempotency;reliability"

